vendor_id,feature_category,feature_value
recBufKIq9zpMSsci,academicFocusAreas,STEM/STEAM
recBufKIq9zpMSsci,academicFocusAreas,Project-Based Learning
recBufKIq9zpMSsci,academicFocusAreas,International Baccalaureate (IB)
recBufKIq9zpMSsci,academicFocusAreas,Advanced Placement (AP)
recBufKIq9zpMSsci,academicFocusAreas,College Prep
recBufKIq9zpMSsci,supportResources,Reading Specialists
recBufKIq9zpMSsci,supportResources,Math Specialists
recBufKIq9zpMSsci,supportResources,ESL/ELL Support
recBufKIq9zpMSsci,supportResources,Counseling Services
recBufKIq9zpMSsci,supportResources,Summer School Programs
recBufKIq9zpMSsci,supportResources,After-School Academic Help
recBufKIq9zpMSsci,cultureAndValues,Democratic/Student-Led Governance
recBufKIq9zpMSsci,cultureAndValues,Community Service Focus
recBufKIq9zpMSsci,cultureAndValues,Character Education
recBufKIq9zpMSsci,cultureAndValues,Social-Emotional Learning
recBufKIq9zpMSsci,extracurricularOfferings,Sports Programs
recBufKIq9zpMSsci,extracurricularOfferings,"Arts Programs (Visual, Music, Drama, Dance)"
recBufKIq9zpMSsci,extracurricularOfferings,Robotics/Coding
recBufKIq9zpMSsci,extracurricularOfferings,Clubs & Activities
recBufKIq9zpMSsci,extracurricularOfferings,Debate/Speech
recBufKIq9zpMSsci,extracurricularOfferings,Student Publications
recBufKIq9zpMSsci,extracurricularOfferings,Field Trips & Travel Opportunities
recBufKIq9zpMSsci,extracurricularOfferings,Before School Programs
recBufKIq9zpMSsci,extracurricularOfferings,After School Programs
recBufKIq9zpMSsci,amenities,Transportation Services
recBufKIq9zpMSsci,amenities,Meal Programs
recBufKIq9zpMSsci,amenities,Technology Access
recBufKIq9zpMSsci,amenities,"Great Facilities (gym, auditorium, etc.)"
recBufKIq9zpMSsci,amenities,Small Class Sizes
recBufKIq9zpMSsci,amenities,Uniforms/Dress Code
recBufKIq9zpMSsci,amenities,Security Features
recBufKIq9zpMSsci,amenities,Extended School Day/Year
reczWuoNDZrBsBuq6,academicFocusAreas,Project-Based Learning
reczWuoNDZrBsBuq6,academicFocusAreas,Classical Education
reczWuoNDZrBsBuq6,supportResources,One-on-One Tutoring
reczWuoNDZrBsBuq6,supportResources,Special Education Services
reczWuoNDZrBsBuq6,supportResources,Speech Therapy
reczWuoNDZrBsBuq6,supportResources,After-School Academic Help
reczWuoNDZrBsBuq6,supportResources,Summer School Programs
reczWuoNDZrBsBuq6,cultureAndValues,Character Education
reczWuoNDZrBsBuq6,cultureAndValues,Social-Emotional Learning
reczWuoNDZrBsBuq6,cultureAndValues,Community Service Focus
reczWuoNDZrBsBuq6,cultureAndValues,Environmental/Outdoor Focus
reczWuoNDZrBsBuq6,extracurricularOfferings,Clubs & Activities
reczWuoNDZrBsBuq6,extracurricularOfferings,Field Trips & Travel Opportunities
reczWuoNDZrBsBuq6,extracurricularOfferings,After School Programs
reczWuoNDZrBsBuq6,extracurricularOfferings,"Arts Programs (Visual, Music, Drama, Dance)"
reczWuoNDZrBsBuq6,amenities,Transportation Services
reczWuoNDZrBsBuq6,amenities,Meal Programs
reczWuoNDZrBsBuq6,amenities,Technology Access
reczWuoNDZrBsBuq6,amenities,Small Class Sizes
reczWuoNDZrBsBuq6,amenities,Security Features
